"","Nombre","Marca","Precio","Supermercado","Hora","unidad","precio_unidad","Categoria","Subcategoria","Estado"
"12903","Mascarilla capilar alisadora Bonté frasco 300 ml","Mercacosmética, S.L.",2.35,"Dia",24358,"100ml",0.78,"Perfumería, higiene, salud","Acondicionadores y mascarillas","Agotado"
"12904","Mascarilla intensiva nutritiva Babaria bote 400 ml",NA,3.55,"Dia",24358,"100ml",0.89,"Perfumería, higiene, salud","Acondicionadores y mascarillas","Agotado"
"12905","Bebida energética wild pink Frugo lata 330 ml","FoodCare Sp. Zo.o",1,"Dia",24358,"LITRO",3.03,"Agua, refrescos y zumos","Bebidas energéticas","Agotado"
"12906","Mousse para gatos de salmón Gourmet caja 4 x 57 g",NA,3.39,"Dia",24358,"KILO",14.87,"Mascotas","Gatos","Añadir"
"12907","Kit hummus Luengo frasco 300 g","LEGUMBRES LUENGO. S.A.",1.79,"Dia",24358,"KILO",5.97,"Arroz, pastas y legumbres","Garbanzos","Agotado"
"12908","Chocolate con leche relleno de crema de leche Trapa bolsa 105 g","Europraline SL.",1.29,"Dia",24359,"KILO",12.29,"Azúcar, chocolates y caramelos","Chocolates y bombones","Agotado"
"12909","Detergente máquina líquido limpio y liso Wipp Express botella 43 lavados",NA,14.99,"Dia",24359,"LAVADO",0.35,"Limpieza y hogar","Cuidado de la ropa","Añadir"
"12910","Refresco de naranja Fuensanta botella 1 l","Global SMM 2009",1.65,"Dia",24359,"LITRO",1.65,"Agua, refrescos y zumos","Naranja","Agotado"
"12911","Longaniza fresca Selección de Dia bandeja 350 g","Campofrío Food Group S.A.U",2.15,"Dia",24359,"KILO",6.14,"Carnicería","Cerdo","Añadir"
"12912","Pimientos del piquillo rojos y verdes en tiras Destapa la Huerta frasco 275 g","Conservas Jorge Bujanda",1.8,"Dia",24359,"KILO",6.55,"Conservas, caldos y cremas","Conservas vegetales","Añadir"
"12913","Mousse para gatos de salmón Vitakraft lata 85 g","Vitakraft Spain",0.79,"Dia",24359,"KILO",9.29,"Mascotas","Gatos","Añadir"
"12914","Escalivada al horno de leña Hida frasco 330 g","Hida Alimentación, S.A.",2.89,"Dia",24359,"KILO",8.76,"Conservas, caldos y cremas","Conservas vegetales","Agotado"
"12915","Cerveza especial Alhambra botella 6 x 20 cl","MAHOU, S.A.",3.49,"Dia",24360,"LITRO",2.91,"Cervezas, vinos y bebidas con alcohol","Cervezas","Añadir"
"12916","Tampón con aplicador compact súper Esos Dias caja 32 unidades",NA,3.2,"Dia",24360,"UNIDAD",0.1,"Perfumería, higiene, salud","Compresas y cuidado íntimo","Agotado"
"12917","Garbanzos cocidos extra Vegecampo de Dia frasco 210 g","Legumbres Luengo S.A.",0.65,"Dia",24360,"KILO",3.1,"Arroz, pastas y legumbres","Garbanzos","Añadir"
"12918","Detergente máquina all in 1 fresh sensations Ariel caja 12 lavados",NA,6.79,"Dia",24360,"LAVADO",0.57,"Limpieza y hogar","Cuidado de la ropa","Agotado"
"12919","Tarta bombón infantil niño San Martín bandeja 500 g","Granderroble Desserts, S.L.U",6.25,"Dia",24360,"KILO",12.5,"Congelados","Churros y postres","Añadir"
"12920","Oreja de cerdo al ajillo Emcesa bolsa 500 g","EMBUTIDOS DEL CENTRO SA",3.19,"Dia",24360,"KILO",6.38,"Carnicería","Cerdo","Añadir"
"12921","Puré de arroz con pollo Hero frasco 470 g","Hero España, S.A.",3.99,"Dia",24360,"KILO",8.49,"Bebé","Potitos y tarritos","Agotado"
"12922","Loción hidratante de coco y caramelo Imaqe de Dia bote 300 ml","Roval Cosmética S.A.",2.29,"Dia",24361,"100ml",0.76,"Perfumería, higiene, salud","Hidratación corporal","Agotado"
"12923","Zamburiñas en salsa vieira Mari Marinera de Dia lata 65 g","Frinsa del Noroeste, S.A.",3.49,"Dia",24361,"KILO",53.69,"Conservas, caldos y cremas","Otras conservas de pescado","Agotado"
"12924","Crema de alcachofas Vegecampo de Dia frasco 110 g","Gourmet Cazorla, S.L",1.09,"Dia",24361,"KILO",9.91,"Charcutería y quesos","Foie, paté y sobrasada","Agotado"
"12925","Espaguetis con tinta de calamar La molisana bolsa 500 g","Delisur Europa",3.79,"Dia",24361,"KILO",7.58,"Arroz, pastas y legumbres","Pastas","Agotado"
"12926","Paté de pollo Nuestra Alacena de Dia frasco 110 g","Gourmet Cazorla, S.L",1.49,"Dia",24361,"KILO",13.55,"Charcutería y quesos","Foie, paté y sobrasada","Añadir"
"12927","Macarrones bio Biotobio bolsa 500 g",NA,1.43,"Dia",24361,"KILO",2.86,"Arroz, pastas y legumbres","Pastas","Agotado"
"12928","Queso vegano cheddar Flax&kale bandeja 130 g","Teresa Carles Manufacturing, S.L.U.",1.99,"Dia",24361,"KILO",15.31,"Charcutería y quesos","Quesos internacionales","Agotado"
"12929","Palmeritas de cebra Virgen del Brezo paquete 180 g",NA,1.75,"Dia",24361,"KILO",9.72,"Galletas, bollos y cereales","Bollería","Añadir"
"12930","Palmera xxl bolsa 280 g","Baker&baker, S.A.U.",1.59,"Dia",24362,"KILO",5.68,"Galletas, bollos y cereales","Bollería","Agotado"
"12931","Desodorante extra refrescante Natural Honey spray 200 ml",NA,2.69,"Dia",24362,"100ml",1.35,"Perfumería, higiene, salud","Desodorantes","Agotado"
"12932","Papel de horno Super Paco de Dia caja 20 unidades","Foil Fix, S.L.",1.13,"Dia",24362,"UNIDAD",0.06,"Limpieza y hogar","Papel de aluminio, horno y film","Añadir"
"12933","Ambientador automático pétalos de talco Super Paco de Dia spray 250 ml","Quimi Romar S.L.",1.8,"Dia",24362,"LITRO",7.2,"Limpieza y hogar","Ambientadores","Añadir"
"12934","Vinagre de limpieza Riojavina botella 1 l",NA,1.15,"Dia",24362,"LITRO",1.15,"Limpieza y hogar","Limpia muebles y multiusos","Añadir"
"12935","Cerveza clásica lager Ramblers de Dia botella 1 l",NA,1.09,"Dia",24362,"LITRO",1.09,"Cervezas, vinos y bebidas con alcohol","Cervezas","Añadir"
"12936","Nuggets de merluza Pescanova bolsa 300 g","Pescanova España S.L.U",2.19,"Dia",24362,"KILO",7.3,"Congelados","Pescado y marisco","Añadir"
"12937","Champú camomila natural  Imaqe de Dia botella 250 ml","Roval Cosmética S.A.",2.2,"Dia",24362,"100ml",0.88,"Perfumería, higiene, salud","Champú","Agotado"
"12938","Maquinilla de afeitar 3 hojas Imaqe de Dia bolsa 4 unidades",NA,2.55,"Dia",24363,"UNIDAD",0.64,"Perfumería, higiene, salud","Afeitado","Añadir"
"12939","Dados de queso especial ensalada Dia Láctea bolsa 100 g","A-ware Iberia, S.L.",0.99,"Dia",24363,"KILO",9.9,"Charcutería y quesos","Queso curado, semicurado y tierno","Añadir"
"12940","Bombas de baño frutos rojos Imaqe de Dia caja 100 g","Valquer Laboratorios S.L.U",1.95,"Dia",24363,"100g",1.95,"Perfumería, higiene, salud","Gel de ducha y esponjas","Agotado"
"12941","Cruapán clásico Bimbo bolsa 380 g","BIMBO DONUTS IBERIA, S.A.U.",3.69,"Dia",24363,"KILO",9.71,"Panes, harinas y masas","Pan de molde, perritos y hamburguesas.","Agotado"
"12942","Desodorante splash Babaria spray 200 ml",NA,2.19,"Dia",24363,"100ml",1.1,"Perfumería, higiene, salud","Desodorantes","Agotado"
"12943","Mini galletas digestive con avena y chocolate Gullón bolsa 160 g","GALLETAS GULLON, S.A",1.2,"Dia",24363,"KILO",7.5,"Galletas, bollos y cereales","Galletas","Añadir"
"12944","Helado mini bombón clásico y almendrado sin azúcar 6 unidades Temptation de Dia estuche 216 g","Ice Cream Factory Comaker, S.A",2.69,"Dia",24363,"KILO",12.45,"Congelados","Helados y hielo","Añadir"
"12945","Galletas saladas con aceite de oliva virgen extra Biscuits Galicia bolsa 200 g","Biscuits Galicia S.L",1.85,"Dia",24363,"KILO",9.25,"Galletas, bollos y cereales","Galletas saladas","Añadir"
"12946","Fumet de pescado Gallina Blanca brik 1 l","GALLINA BLANCA, S.A.U.",3.49,"Dia",24364,"LITRO",3.49,"Conservas, caldos y cremas","Cremas y caldos líquidos","Añadir"
