"","Nombre","Marca","Precio","Supermercado","Hora","unidad","precio_unidad","Categoria","Subcategoria","Estado"
"3043","Copa menstrual tamaño 1 dytas 1uds","DYTAS",8.5,"Supermercados Mas",16480,"UNIDAD",8.5,"Compresas","Copa menstrual tamaño 1 dytas 1uds","Añadir"
"3044","Comida gato salmon ifa amigo 300g","IFA AMIGO",1,"Supermercados Mas",16481,"KILO",3.33,"Alimentación húmeda","Comida gato salmon ifa amigo 300g","Añadir"
"3045","Leche fibra asturiana brick 1l","ASTURIANA",1.69,"Supermercados Mas",16482,"LITRO",1.69,"Enriquecida","Leche fibra asturiana brick 1l","Añadir"
"3046","Cabrillas en salsa los abuelos tarrina 1kg","LOS ABUELOS",9.95,"Supermercados Mas",16483,"KILO",9.95,"Otros platos e internacionales","Cabrillas en salsa los abuelos tarrina 1kg","Añadir"
"3047","Cerveza cruzcampo lata p24x33cl","CRUZCAMPO",11.99,"Supermercados Mas",16486,"LITRO",1.51,"Rubias","Cerveza cruzcampo lata p24x33cl","Añadir"
"3048","Cafe descafeinado molido catunambu 400gr","CATUNAMBU",3.99,"Supermercados Mas",16488,"KILO",9.98,"Café molido","Cafe descafeinado molido catunambu 400gr","Añadir"
"3049","Anis dulce el mono botella de 70cl","EL MONO",8.3,"Supermercados Mas",16489,"LITRO",11.86,"Brandy y anís","Anis dulce el mono botella de 70cl","Añadir"
"3050","Eau de parfum caravan n60","CARAVAN",11.99,"Supermercados Mas",16489,"100ml",7.99,"Masculinas","Eau de parfum caravan n60","Añadir"
"3051","Ambientador varitas lavanda glade aromatherapy 80ml","GLADE",7.99,"Supermercados Mas",16490,"LITRO",99.88,"Continuos y decorativos","Ambientador varitas lavanda glade aromatherapy 80ml","Añadir"
"3052","Pasta tallarines parmesano gallina blanca 149g","GALLINA BLANCA",2.15,"Supermercados Mas",16491,"KILO",14.43,"De pasta y arroz","Pasta tallarines parmesano gallina blanca 149g","Añadir"
"3053","Comida gato doble placer surtidos gourmet gold p8x85g","GOURMET GOLD",6.15,"Supermercados Mas",16492,"KILO",9.04,"Alimentación húmeda","Comida gato doble placer surtidos gourmet gold p8x85g","Añadir"
"3054","Merluza pavias barea 500g","BAREA",4.59,"Supermercados Mas",16493,"KILO",9.18,"Pescados","Merluza pavias barea 500g","Añadir"
"3055","Curry carnaval frasco 40g","CARNAVAL",0.9,"Supermercados Mas",16494,"100g",2.25,"Especias y sazonadores","Curry carnaval frasco 40g","Añadir"
"3056","Limpiador desinfectante baño ifa sabe pistola 970ml","IFA SABE",1.99,"Supermercados Mas",16496,"LITRO",2.05,"Para baño y antical","Limpiador desinfectante baño ifa sabe pistola 970ml","Añadir"
"3057","Alicates uñas manicura fussy 1ud","FUSSY",4.89,"Supermercados Mas",16498,"UNIDAD",4.89,"Accesorios para manicura y pedicura","Alicates uñas manicura fussy 1ud","Añadir"
"3058","Barrita chocolate leche corny p6x 25gr","CORNY",2.49,"Supermercados Mas",16499,"KILO",16.6,"Barritas de cereales","Barrita chocolate leche corny p6x 25gr","Añadir"
"3059","Alioli mortero extrasuave chovi 150ml","CHOVI",1,"Supermercados Mas",16500,"LITRO",6.67,"Mayonesa y alioli","Alioli mortero extrasuave chovi 150ml","Añadir"
"3060","Cafe molido natural marcilla 250 gr","MARCILLA",3.45,"Supermercados Mas",16502,"KILO",13.8,"Café molido","Cafe molido natural marcilla 250 gr","Añadir"
"3061","Garbanzo cocido ecológico luengo 570g","LUENGO",1.85,"Supermercados Mas",16503,"KILO",3.25,"Garbanzos","Garbanzo cocido ecológico luengo 570g","Añadir"
"3062","Comida perro adult pollo buey one p4x 85gr","ONE",3.2,"Supermercados Mas",16504,"KILO",9.41,"Alimentación húmeda","Comida perro adult pollo buey one p4x 85gr","Añadir"
"3063","Vino rioja torre muga reserva 75cl","TORRE MUGA",78,"Supermercados Mas",16508,"LITRO",104,"D.O. Rioja","Vino rioja torre muga reserva 75cl","Añadir"
"3064","Cerveza el alcazar bot 33cl","EL ALCAZAR",0.99,"Supermercados Mas",16509,"LITRO",3,"Rubias","Cerveza el alcazar bot 33cl","Añadir"
"3065","Guantes goma flocado talla pequeña ifa sabe 1 ud","IFA SABE",0.9,"Supermercados Mas",16510,"UNIDAD",0.9,"Guantes","Guantes goma flocado talla pequeña ifa sabe 1 ud","Añadir"
"3066","Laca pantene fijacion flexible 370ml","PANTENE",4.15,"Supermercados Mas",16512,"100ml",1.12,"Fijación","Laca pantene fijacion flexible 370ml","Añadir"
"3067","Vino montilla moriles fino soñador 75cl","SOÑADOR",2.85,"Supermercados Mas",16513,"LITRO",3.8,"Montilla-Moriles","Vino montilla moriles fino soñador 75cl","Añadir"
"3068","Regaña aceite oliva mas 250g","MAS",1,"Supermercados Mas",16518,"KILO",4,"Picos y regañás","Regaña aceite oliva mas 250g","Añadir"
"3069","Gel de baño coco ifa unnia 750 ml","IFA UNNIA",1.4,"Supermercados Mas",16519,"100ml",0.19,"Gel de baño y ducha","Gel de baño coco ifa unnia 750 ml","Añadir"
"3070","Leche con calcio semidesnatada ifa eliges brick 1l","IFA ELIGES",0.96,"Supermercados Mas",16520,"LITRO",0.96,"Enriquecida","Leche con calcio semidesnatada ifa eliges brick 1l","Añadir"
"3071","Desodorante stick dermo protector sanex 65 ml","SANEX",2.7,"Supermercados Mas",16520,"100ml",4.15,"En barra y roll-on","Desodorante stick dermo protector sanex 65 ml","Añadir"
"3072","Galleta rellana crema sin gluten coppenrarh 300g","COPPENRARH",3.85,"Supermercados Mas",16521,"KILO",12.83,"Galletas rellenas","Galleta rellana crema sin gluten coppenrarh 300g","Añadir"
"3073","Queso cheddar ifa eliges lonchas 200gr","IFA ELIGES",1.75,"Supermercados Mas",16522,"KILO",8.75,"En lonchas","Queso cheddar ifa eliges lonchas 200gr","Añadir"
"3074","Queso porciones sin lactosa caserio 16 unidades 250g","EL CASERIO",3.5,"Supermercados Mas",16523,"KILO",14,"En porciones","Queso porciones sin lactosa caserio 16 unidades 250g","Añadir"
"3075","Vino do ronda tinto frontones cr 75cl","FRONTONES",7.95,"Supermercados Mas",16525,"LITRO",10.6,"Otras D.O.","Vino do ronda tinto frontones cr 75cl","Añadir"
"3076","Azucar glace azucarera 500g","AZUCARERA",2.79,"Supermercados Mas",16526,"KILO",5.58,"Azúcar","Azucar glace azucarera 500g","Añadir"
"3077","Pate crema lomos de atun oceanix pack-2x 75gr","OCEANIX",3.1,"Supermercados Mas",16527,"KILO",20.67,"Otros untables","Pate crema lomos de atun oceanix pack-2x 75gr","Añadir"
"3078","Guantes nitrilo desechable cuatrogasa t-m 100ud","CUATROGASA",4.79,"Supermercados Mas",16528,"UNIDAD",0.05,"Guantes","Guantes nitrilo desechable cuatrogasa t-m 100ud","Añadir"
"3079","Recambio para ambientador eléctrico aroma nenuco air wick pack de 2 unidades de 19ml","AIR WICK",8.99,"Supermercados Mas",16529,"LITRO",236.58,"Eléctricos","Recambio para ambientador eléctrico aroma nenuco air wick pack de 2 unidades de 19ml","Añadir"
"3080","Comida perro nature mini ultima 1,25k","ULTIMA",9.95,"Supermercados Mas",16531,"KILO",7.96,"Alimentación seca","Comida perro nature mini ultima 1,25k","Añadir"
"3081","Pimiento asado bierzo lt 295g ne","BIERZO",3.75,"Supermercados Mas",16533,"KILO",12.71,"Pimientos","Pimiento asado bierzo lt 295g ne","Añadir"
"3082","Vino oloroso pata de gallina 50cl","PATA DE GALLINA",24.99,"Supermercados Mas",16534,"LITRO",49.98,"Jerez, fino y manzanilla","Vino oloroso pata de gallina 50cl","Añadir"
"3083","Mascarilla quirurgica adulto tecnol pack 10ud","TECNOL",0.95,"Supermercados Mas",16536,"UNIDAD",0.1,"Otros","Mascarilla quirurgica adulto tecnol pack 10ud","Añadir"
"3084","Alubia pinta tentudia 1kg","TENTUDIA",2.3,"Supermercados Mas",16537,"KILO",2.3,"Garbanzos","Alubia pinta tentudia 1kg","Añadir"
"3085","Ambientador varitas moras the fruit company 40 ml","FRUIT COMPAN",3.49,"Supermercados Mas",16540,"LITRO",87.25,"Continuos y decorativos","Ambientador varitas moras the fruit company 40 ml","Añadir"
"3086","Magreta adobada el pozo bandeja 300g aprox","EL POZO",2.99,"Supermercados Mas",16541,"KILO",9.97,"Elaborados","Magreta adobada el pozo bandeja 300g aprox","Añadir"
"3087","Comida gato seleccion de carnes gourmet mom petit p6x50g","GOURMET MOM PETIT",2.99,"Supermercados Mas",16542,"KILO",9.97,"Alimentación húmeda","Comida gato seleccion de carnes gourmet mom petit p6x50g","Añadir"
"3088","Crema revitalift día loreal 50ml","LOREAL",9.5,"Supermercados Mas",16544,"100ml",19,"Hidratantes y nutritivas","Crema revitalift día loreal 50ml","Añadir"
"3089","Bolsa de cubitos de hielo albal 20 ud","ALBAL",1.49,"Supermercados Mas",16545,"UNIDAD",0.07,"Bolsas para hielo","Bolsa de cubitos de hielo albal 20 ud","Añadir"
"3090","Melva filete aceite de oliva tejero rr230 160g ne","TEJERO",5.85,"Supermercados Mas",16547,"KILO",36.56,"Caballa y melva","Melva filete aceite de oliva tejero rr230 160g ne","Añadir"
"3091","Membrillo santa teresa lonchas 150g","SANTA TERESA",3.55,"Supermercados Mas",16548,"KILO",23.67,"Otros untables","Membrillo santa teresa lonchas 150g","Añadir"
"3092","Gel intimo esencias delicadas lila primavera vagisil 250ml","VAGISIL",4.79,"Supermercados Mas",16549,"100ml",1.92,"Geles y toallitas","Gel intimo esencias delicadas lila primavera vagisil 250ml","Añadir"
"3093","Comida para cobaya vitakraft 1kg","VITAKRAFT",3.25,"Supermercados Mas",16551,"KILO",3.25,"Otras mascotas","Comida para cobaya vitakraft 1kg","Añadir"
"3094","garbanzos andaluces cocidos luengo 570g","LUENGO",1.3,"Supermercados Mas",16552,"KILO",2.28,"Garbanzos","garbanzos andaluces cocidos luengo 570g","Añadir"
"3095","Piña en almibar diamir lata 825g 490ne","DIAMIR",1.99,"Supermercados Mas",16553,"KILO",2.41,"Frutas","Piña en almibar diamir lata 825g 490ne","Añadir"
"3096","Ambientador barqueta lavanda ifa sabe 150gr","IFA SABE",1.15,"Supermercados Mas",16554,"KILO",7.67,"Continuos y decorativos","Ambientador barqueta lavanda ifa sabe 150gr","Añadir"
"3097","Aceituna manzanilla sabor anchoa garrafa 350gne","SOLUCAR",2.99,"Supermercados Mas",16555,"KILO",8.54,"Aceitunas","Aceituna manzanilla sabor anchoa garrafa 350gne","Añadir"
"3098","Chocolate negro 70% con naranja suchard 100g","SUCHARD",2.99,"Supermercados Mas",16556,"KILO",29.9,"Chocolate negro","Chocolate negro 70% con naranja suchard 100g","Añadir"
"3099","Cilantro el dulce tarrina 25gr aprox","EL DULCE",1.29,"Supermercados Mas",16557,"100g",5.16,"Hierbas aromáticas","Cilantro el dulce tarrina 25gr aprox","Añadir"
"3100","Tronkitos de mar pescanova 500g","PESCANOVA",1.95,"Supermercados Mas",16559,"KILO",3.9,"Palitos de cangrejo, surimi y gulas","Tronkitos de mar pescanova 500g","Añadir"
"3101","Lonchas sabor original violife 200gr","VIOLIFE",2.49,"Supermercados Mas",16560,"KILO",12.45,"De legumbres y verduras","Lonchas sabor original violife 200gr","Añadir"
"3102","Salchichas big pavo el pozo 3x 200gr","EL POZO",2.5,"Supermercados Mas",16561,"KILO",4.17,"Salchichas","Salchichas big pavo el pozo 3x 200gr","Añadir"
"3103","Bebida fr refr mandarina simon life pet 1,5l","SIMON LIFE",1.6,"Supermercados Mas",16563,"LITRO",1.07,"De naranja","Bebida fr refr mandarina simon life pet 1,5l","Añadir"
"3104","Bizcocho 0% azucares la bella easo 230gr","LA BELLA EASO",2.79,"Supermercados Mas",16569,"KILO",12.13,"Bizcochos","Bizcocho 0% azucares la bella easo 230gr","Añadir"
"3105","Leche evaporada ideal base vegetal nestle 204g","IDEAL",1.79,"Supermercados Mas",16570,"KILO",8.77,"En polvo, condensadas y evaporadas","Leche evaporada ideal base vegetal nestle 204g","Añadir"
"3106","Cafe en capsulas ristretto marcilla 20 capsulas","MARCILLA",5.99,"Supermercados Mas",16571,"UNIDAD",0.3,"Cápsulas y monodosis","Cafe en capsulas ristretto marcilla 20 capsulas","Añadir"
"3107","Champú johnson´s baby johnson & johnson 750ml","JOHNSON",3.69,"Supermercados Mas",16573,"100ml",0.49,"Champú","Champú johnson´s baby johnson & johnson 750ml","Añadir"
"3108","Leche entera granja riosol 1l","GRANJA RIOSOL",0.87,"Supermercados Mas",16574,"LITRO",0.87,"Entera","Leche entera granja riosol 1l","Añadir"
"3109","Mascarilla facial lavanda mbeauty 1ud","MBEAUTY",1.75,"Supermercados Mas",16575,"UNIDAD",1.75,"Cuidado facial","Mascarilla facial lavanda mbeauty 1ud","Añadir"
"3110","Pilas duracell mn21 3lr50 2ud","DURACELL",4.5,"Supermercados Mas",16576,"UNIDAD",2.25,"Pilas","Pilas duracell mn21 3lr50 2ud","Añadir"
"3111","Flauta bacon y queso aviserrano pack 2x136,5g","AVISERRANO",1.95,"Supermercados Mas",16579,"KILO",7.14,"Empanadillas, bocadillos y sándwiches","Flauta bacon y queso aviserrano pack 2x136,5g","Añadir"
"3112","Champu repara y protege pantene 275ml","PANTENE",3.49,"Supermercados Mas",16580,"100ml",1.27,"Champú","Champu repara y protege pantene 275ml","Añadir"
"3113","Comida gato junior pollo ifa amigo 800gr","IFA AMIGO",3.3,"Supermercados Mas",16582,"KILO",4.12,"Alimentación seca","Comida gato junior pollo ifa amigo 800gr","Añadir"
"3114","Refresco original limon schweppes lata 25cl","SCHWEPPES",0.85,"Supermercados Mas",16583,"LITRO",3.4,"Tónica, bitter y otros sabores","Refresco original limon schweppes lata 25cl","Añadir"
"3115","Bollito relleno chocolate con leche bella easo 240g","B.EASO",2.45,"Supermercados Mas",16584,"KILO",10.21,"Pan de leche y brioche","Bollito relleno chocolate con leche bella easo 240g","Añadir"
"3116","Tortillas de trigo wraps old el paso 350g","OLD EL PASO",2.95,"Supermercados Mas",16585,"KILO",8.43,"Otros platos e internacionales","Tortillas de trigo wraps old el paso 350g","Añadir"
"3117","Bombilla led neutro philips e27 40w","PHILIPS",4.29,"Supermercados Mas",16586,"UNIDAD",4.29,"Bombillas","Bombilla led neutro philips e27 40w","Añadir"
"3118","Colonia masculina boxes dynamic saphir 200 ml","SAPHIR",13.89,"Supermercados Mas",16587,"100ml",6.94,"Masculinas","Colonia masculina boxes dynamic saphir 200 ml","Añadir"
"3119","Comida perro junior ultima 3k","ULTIMA",12.95,"Supermercados Mas",16589,"KILO",4.32,"Alimentación seca","Comida perro junior ultima 3k","Añadir"
"3120","Vino d monterrei blanco godello mara martin 75cl","MARA MARTIN",8.49,"Supermercados Mas",16591,"LITRO",11.32,"Otras D.O.","Vino d monterrei blanco godello mara martin 75cl","Añadir"
"3121","Brillo labial perfect gloss col. glam tono oro aplicador 5ml","KADO",3,"Supermercados Mas",16593,"100ml",60,"Para los labios","Brillo labial perfect gloss col. glam tono oro aplicador 5ml","Añadir"
"3122","Queso de oveja viejo marques del castillo tapa 250 gr","MARQUES DEL CASTILLO",4.95,"Supermercados Mas",16602,"KILO",19.8,"Curado","Queso de oveja viejo marques del castillo tapa 250 gr","Añadir"
"3123","Pechuga de pavo ifa eliges lonchas 200g","IFA ELIGES",1.9,"Supermercados Mas",16603,"KILO",9.5,"Pavo y otras aves","Pechuga de pavo ifa eliges lonchas 200g","Añadir"
"3124","Regaña con aceite de oliva y ajonjoli andres 325gr","ANDRES",1.35,"Supermercados Mas",16604,"KILO",4.15,"Picos y regañás","Regaña con aceite de oliva y ajonjoli andres 325gr","Añadir"
"3125","Lavavajillas máquina pastilla limon classic finish 26 dosis","FINISH",3.75,"Supermercados Mas",16606,"UNIDAD",0.14,"Lavavajillas a máquina monodosis","Lavavajillas máquina pastilla limon classic finish 26 dosis","Añadir"
"3126","Champú original remedies arcilla suave y limón garnier 300 ml","ORIGINAL REMEDIES",3.59,"Supermercados Mas",16607,"100ml",1.2,"Champú","Champú original remedies arcilla suave y limón garnier 300 ml","Añadir"
"3127","Desatascador vikinga","VIKINGA",1.36,"Supermercados Mas",16609,"UNIDAD",1.36,"Desatascadores","Desatascador vikinga","Añadir"
"3128","Guisante muy finos bonduelle 140g ne","BONDUELLE",1.49,"Supermercados Mas",16610,"KILO",10.64,"Guisantes","Guisante muy finos bonduelle 140g ne","Añadir"
"3129","Galleta doble crema oreo 185g","OREO",1.99,"Supermercados Mas",16610,"KILO",10.76,"Galletas rellenas","Galleta doble crema oreo 185g","Añadir"
"3130","Vino ribera del duero tinto pago capellanes roble 75cl","PAGO DE CAPELLANES",NA,"Supermercados Mas",16618,"LITRO",19.93,"D.O. Ribera del Duero","Vino ribera del duero tinto pago capellanes roble 75cl",NA
"3131","Vino malaga dulce cartojal 75cl","CARTOJAL",8.8,"Supermercados Mas",16619,"LITRO",11.73,"Málaga","Vino malaga dulce cartojal 75cl","Añadir"
"3132","Cerezas rojas diamir tarro 160g 90gne","DIAMIR",1.95,"Supermercados Mas",16621,"KILO",12.19,"Frutas","Cerezas rojas diamir tarro 160g 90gne","Añadir"
"3133","Ambientador elect j.tatami ambipur 21,5ml","AMBIPUR",6.69,"Supermercados Mas",16622,"LITRO",304.09,"Eléctricos","Ambientador elect j.tatami ambipur 21,5ml","Añadir"
"3134","Chicles sin azucar hierbabuena trident 14,5g","TRIDENT",0.99,"Supermercados Mas",16624,"KILO",66,"Chicles","Chicles sin azucar hierbabuena trident 14,5g","Añadir"
"3135","Salchichas hot dog pavo aia 1k","AIA",5.99,"Supermercados Mas",16626,"KILO",5.99,"Salchichas","Salchichas hot dog pavo aia 1k","Añadir"
"3136","Helado de chocolate belga haagen dazs 500ml","HAAGEN DAZS",6.99,"Supermercados Mas",16627,"LITRO",13.98,"Tarrinas y barras","Helado de chocolate belga haagen dazs 500ml","Añadir"
"3137","Toallitas sensitive dodot 54ud","DODOT SENSITIVE",2.99,"Supermercados Mas",16628,"UNIDAD",0.06,"Toallitas","Toallitas sensitive dodot 54ud","Añadir"
"3138","Lavavajillas máquina gel oro somat 35 dosis","SOMAT",6.99,"Supermercados Mas",16629,"LAVADO",0.2,"Lavavajillas a máquina en líquido","Lavavajillas máquina gel oro somat 35 dosis","Añadir"
"3139","Cereales multipack 5 variante nestle 190gr","NESTLE",3.99,"Supermercados Mas",16630,"KILO",21,"Cereales","Cereales multipack 5 variante nestle 190gr","Añadir"
"3140","Gel de manos hidroalcoholico ifa unnia 500ml","IFA UNNIA",3.1,"Supermercados Mas",16631,"100ml",0.62,"Jabón de manos","Gel de manos hidroalcoholico ifa unnia 500ml","Añadir"
"3141","Te verde hornimans 20 sobres","HORNIMANS",2.79,"Supermercados Mas",16632,"UNIDAD",0.14,"Té","Te verde hornimans 20 sobres","Añadir"
"3142","Zanahoria al estilo andaluz campo rico 350g","CAMPO RICO",2.59,"Supermercados Mas",16633,"KILO",7.4,"De legumbres y verduras","Zanahoria al estilo andaluz campo rico 350g","Añadir"
"3143","Desodorante roll-on para hombre black & white invisible original nivea 50 ml","NIVEA",1.99,"Supermercados Mas",16634,"100ml",3.98,"En barra y roll-on","Desodorante roll-on para hombre black & white invisible original nivea 50 ml","Añadir"
"3144","Cafe caps dolce gusto caramel macchiato starbucks 12ud","STARBUCKS",4.89,"Supermercados Mas",16635,"UNIDAD",0.41,"Cápsulas y monodosis","Cafe caps dolce gusto caramel macchiato starbucks 12ud","Añadir"
"3145","Comida perro mini senior ultima 1,5k","ULTIMA",7.95,"Supermercados Mas",16636,"KILO",5.3,"Alimentación seca","Comida perro mini senior ultima 1,5k","Añadir"
"3146","Aceite keratina repara y protege pantene 100ml","PANTENE",7.99,"Supermercados Mas",16637,"100ml",7.99,"Tratamientos para el cabello y otros","Aceite keratina repara y protege pantene 100ml","Añadir"
"3147","Arroz bomba la fallera 1k","LA FALLERA",5.95,"Supermercados Mas",16638,"KILO",5.95,"Redondo","Arroz bomba la fallera 1k","Añadir"
"3148","Chocolatina kit kat p3x41,5g","KIT KAT",2.19,"Supermercados Mas",16641,"KILO",17.52,"Chocolatinas y snacks","Chocolatina kit kat p3x41,5g","Añadir"
"3149","Infusion cola de caballo pompadour 20 sobres","POMPADOUR",2.79,"Supermercados Mas",16642,"UNIDAD",0.14,"Otras infusiones","Infusion cola de caballo pompadour 20 sobres","Añadir"
"3150","Gazpacho natural garcia millan pet 33cl","GARCIA MILLAN",1.55,"Supermercados Mas",16644,"LITRO",4.7,"Gazpachos y salmorejos","Gazpacho natural garcia millan pet 33cl","Añadir"
"3151","Refresco cola coca cola pet p-2 1,25l","COCA COLA",2.4,"Supermercados Mas",16645,"LITRO",0.96,"De cola","Refresco cola coca cola pet p-2 1,25l","Añadir"
"3152","Carne picada mixta el pozo 500g","EL POZO",4.49,"Supermercados Mas",16646,"KILO",8.98,"Hamburguesas, albondigas y carne picada","Carne picada mixta el pozo 500g","Añadir"
"3153","Cerveza 000 ambar lata 33cl","AMBAR",0.72,"Supermercados Mas",16647,"LITRO",2.18,"Sin alcohol y light","Cerveza 000 ambar lata 33cl","Añadir"
"3154","Vino extremadura tinto habla numerado 75cl","HABLA",26.49,"Supermercados Mas",16648,"LITRO",35.32,"Otras D.O.","Vino extremadura tinto habla numerado 75cl","Añadir"
"3155","Vino ribera del duero tinto majuelos callejo reserva 75cl","MAJUELOS CALLEJO",35.2,"Supermercados Mas",16649,"LITRO",46.93,"D.O. Ribera del Duero","Vino ribera del duero tinto majuelos callejo reserva 75cl","Añadir"
"3156","Ginebra seagram´s botella de 70cl","SEAGRAMS",15.95,"Supermercados Mas",16650,"LITRO",22.79,"Ginebra","Ginebra seagram´s botella de 70cl","Añadir"
"3157","Licor cointreau botella de 70cl","COINTREAU",20.1,"Supermercados Mas",16652,"LITRO",28.71,"Otros alcoholes y licores","Licor cointreau botella de 70cl","Añadir"
"3158","Leche cacao cereale puleva max p3x200ml","PULEVA MAX",1.79,"Supermercados Mas",16653,"LITRO",2.98,"De energía y crecimiento","Leche cacao cereale puleva max p3x200ml","Añadir"
"3159","Solomillo atun exkimo 225gr","EXKIMO",3.99,"Supermercados Mas",16654,"KILO",17.73,"Pescados","Solomillo atun exkimo 225gr","Añadir"
"3160","Mascarilla hair food piña fructis 400ml","FRUCTIS",6.99,"Supermercados Mas",16655,"100ml",1.75,"Acondicionadores y mascarillas","Mascarilla hair food piña fructis 400ml","Añadir"
"3161","Palitos sticks salados xox 250g","XOX",1.69,"Supermercados Mas",16656,"KILO",6.76,"Galletas","Palitos sticks salados xox 250g","Añadir"
"3162","Pizza barbacoa ifa eliges 350gr","IFA ELIGES",2.6,"Supermercados Mas",16657,"KILO",7.43,"Pizzas","Pizza barbacoa ifa eliges 350gr","Añadir"
"3163","Cerveza birra moretti botella 33cl","BIRRA MORETTI",1.66,"Supermercados Mas",16658,"LITRO",5.03,"Internacionales y premium","Cerveza birra moretti botella 33cl","Añadir"
"3164","Vino ribera del duero tinto pago de capellanes crianza 75cl","PAGO DE CAPELLANES",24.3,"Supermercados Mas",16659,"LITRO",32.4,"D.O. Ribera del Duero","Vino ribera del duero tinto pago de capellanes crianza 75cl","Añadir"
"3165","Cepillo dental gold suave premium pierrot 2ud","PIERROT",1.69,"Supermercados Mas",16661,"UNIDAD",1.69,"Cepillos de dientes","Cepillo dental gold suave premium pierrot 2ud","Añadir"
"3166","Champu leche de almendra original remedies 300ml","ORIGINAL REMEDIES",3.59,"Supermercados Mas",16663,"100ml",1.2,"Champú","Champu leche de almendra original remedies 300ml","Añadir"
"3167","Jamon serrano ifa eliges 150gr","IFA ELIGES",3.1,"Supermercados Mas",16665,"KILO",20.67,"Jamón","Jamon serrano ifa eliges 150gr","Añadir"
"3168","Mousse de chocolate dr.oetker 65g","DR.OETKER",1.85,"Supermercados Mas",16666,"KILO",28.46,"Postres en polvo","Mousse de chocolate dr.oetker 65g","Añadir"
"3169","Cerveza sin alcohol 0,0% estrella galicia botella p6x25cl","ESTRELLA GALICIA",3.62,"Supermercados Mas",16667,"LITRO",2.41,"Sin alcohol y light","Cerveza sin alcohol 0,0% estrella galicia botella p6x25cl","Añadir"
"3170","Pouch 4 frutas nestle 90g","NESTLE",1.25,"Supermercados Mas",16669,"KILO",13.89,"Zumos y bolsitas","Pouch 4 frutas nestle 90g","Añadir"
"3171","Crema casera con pollo y verdura gallina blanca bk 500ml","GALLINA BLANCA",1.99,"Supermercados Mas",16671,"LITRO",3.98,"Caldos líquidos","Crema casera con pollo y verdura gallina blanca bk 500ml","Añadir"
"3172","Leche sin lactosa desnatada pascual brick 1l","PASCUAL",1.2,"Supermercados Mas",16672,"LITRO",1.2,"Desnatada","Leche sin lactosa desnatada pascual brick 1l","Añadir"
"3173","Alitas pollo asadas la carloteña 300gr","LA CARLOTEÑA",2.99,"Supermercados Mas",16673,"KILO",9.97,"De carnes y aves","Alitas pollo asadas la carloteña 300gr","Añadir"
"3174","Navajuela chilena diamir ro120 63g ne","DIAMIR",2.3,"Supermercados Mas",16676,"KILO",36.51,"Mejillones y navajas","Navajuela chilena diamir ro120 63g ne","Añadir"
"3175","Lejía con detergente azul ifa sabe 2 l","IFA SABE",1.15,"Supermercados Mas",16677,"LITRO",0.58,"Lejías y líquidos fuertes","Lejía con detergente azul ifa sabe 2 l","Añadir"
"3176","Caldo de carne avecrem gallina blanca 8+2 pastillas","AVECREM",0.85,"Supermercados Mas",16678,"LAVADO",0.08,"Caldos concentrados y pastillas","Caldo de carne avecrem gallina blanca 8+2 pastillas","Añadir"
"3177","Galleta cookie sensation milka sensation 156g","MILKA SENSATION",2.69,"Supermercados Mas",16679,"KILO",17.24,"Galletas rellenas","Galleta cookie sensation milka sensation 156g","Añadir"
"3178","Cerveza original guinness botella 33cl","GUINNESS",1.75,"Supermercados Mas",16681,"LITRO",5.3,"Internacionales y premium","Cerveza original guinness botella 33cl","Añadir"
"3179","Bebida lactea fibra puleva 1l","PULEVA",1.59,"Supermercados Mas",16682,"LITRO",1.59,"Enriquecida","Bebida lactea fibra puleva 1l","Añadir"
"3180","Vino rioja tinto cune crianza 75cl","CUNE",6.95,"Supermercados Mas",16683,"LITRO",9.27,"D.O. Rioja","Vino rioja tinto cune crianza 75cl","Añadir"
"3181","Limpiador vitrocerámica naranja frosch 500 ml","FROSCH",4.59,"Supermercados Mas",16685,"LITRO",9.18,"Multiusos y cristales","Limpiador vitrocerámica naranja frosch 500 ml","Añadir"
"3182","Yogur macedonia ifa eliges p4x 125gr","IFA ELIGES",0.8,"Supermercados Mas",16687,"KILO",1.6,"Con sabores y frutas","Yogur macedonia ifa eliges p4x 125gr","Añadir"
"3183","Cafe grano natural guatemala catunambu 250gr","CATUNAMBU",3.49,"Supermercados Mas",16688,"KILO",13.96,"Café grano","Cafe grano natural guatemala catunambu 250gr","Añadir"
"3184","Cafe soluble descafeinado nescafe 100 gr","NESCAFE",4.3,"Supermercados Mas",16690,"KILO",43,"Café soluble","Cafe soluble descafeinado nescafe 100 gr","Añadir"
"3185","Torta polvoron el cartujano 180g","EL CARTUJANO",1.55,"Supermercados Mas",16691,"KILO",8.61,"Otras piezas de bollería y pastelería","Torta polvoron el cartujano 180g","Añadir"
"3186","Pasta espiral sin gluten sam mills 500g","SAM MILLS",1.95,"Supermercados Mas",16692,"KILO",3.9,"Otras pastas y especialidades","Pasta espiral sin gluten sam mills 500g","Añadir"
"3187","Azucar blanquilla azucarera 1k","AZUCARERA",1.45,"Supermercados Mas",16694,"KILO",1.45,"Azúcar","Azucar blanquilla azucarera 1k","Añadir"
"3188","Comida perro vacuno ifa amigo barra 1kg","IFA AMIGO",1.8,"Supermercados Mas",16694,"KILO",1.8,"Alimentación húmeda","Comida perro vacuno ifa amigo barra 1kg","Añadir"
